lyrics,label,language
No entiendo por qué no le cuenta'
Que él no te tiene contenta
No puede' ni imaginar las gana' de caminar
A tu lado por la Playa del Inglés

Porque sé que me extraña' como yo te extraño
En el avión me decía: Te espero en el baño
En dirección a Columbia a revivir aquello' año'
Cuando bebíamo' guaro, mami, y entre par de trago' te besé
Y aunque pasa el tiempo, mami, siempre te esperé

Me miraste con ojito' de querer volverlo a hacer
Mami, dime quién soy yo pa' negarle un polvo a usted
Bebé, y aunque sea escondido', te veo y me traen

Gana' de decirle al mundo
Que aunque te vea de espalda, mami, yo no te confundo
Tú no sabe cuánta' noche' recé
Estaba escuchando Myke Towers cuando yo te reencontré, eh-eh

A un kilómetro de mí
Que me guíe Polaris pa' llegar hasta ti
Tú me dejas sin aire, sin saber qué decir
Te juro, yo no era así

¿Por qué no intentarlo?
Sé que a vece' no me dormiré por pelearno'
También que no' pasaremo' día' sin hablarno'
Le follen al miedo, quiero experimentarlo

Aunque duela, me muera, me mate
Aunque la distancia no mata, pero las ganas sí, yo también
Tengo gana' de verte, pero tengo que aguantarme
Al final se hizo tarde, pero te enseñé Graná'
Y tú me enseñaste cada centímetro de tu piel

Por ti a toda' renuncié
¿Todo esto pa' qué fue?
Si ahora estás con alguien, pero piensa' en mí
¿Mejor que yo dime quién?
No somo' na' y te soy fiel, yeah
Bebé, ¿esta noche qué va' a hacer?
Estaba escuchando al FERXXO y me acordé de usted, yeah, eh

Wow, poniéndote cosa' en Twitter
Tú ere' una joya, mami, tú ere' una keeper
Los pana' mío' diciendo que no me embiche
Pero a esa culona yo siempre la quise

Se vistió como una rapera, fui pa' la disco con ella
La-la toqué tanto que borré toda' las huella'
Que dejaron en su piel, le hablé como hablaba Eliel
Qué gonorrea que yo no te vuelva a ver

Voy pa' los parties, pero pensando en verte
Me tiene en cuarentena, pero no es 2020
Bebé, ¿esta noche qué vas a hacer?
Vi tu story escuchando una de Saiko, bebé, yeah

Tú ere' de otra ciudad
Mi mente está contigo allá, la tuya en otro lugar
Esto ya pasó de ser una simple amistad
Quisiera verte, pero no sube' na' (es que te vi a mi lado)

No sé lo que querrá
Ni que pienses, yo te pienso acá
Cada rato y parece que te da igual
No sé pa' dónde mirar si a ti te da con mirarme

A kilómetros de mí
Que me guíe Polaris pa' llegar hasta ti
Cuando estoy contigo a vece' no sé ni lo que decir
Y eso que yo no era así
Pero me tiene' aquí

Yeah, bebé, esta noche te voy a ver
Con to' lo que pasó, grabé un tema y me pegué, yeah, yeah",Pop,es
"Y sigues clavaíto
(Tan clavaíto que duele)
(Tan clavaíto que gusta)
(Tan clavaíto que duele)
(Estar lejos de ti me asusta)

Se te ve tan bien con ella
Y no es que no me alegre por ti
Aquí estoy tras una botella
La cual me da el valor de decir

Que mi sonrisa está ensayada, al igual que mi mirada
Por dentro estoy llorando por ti (ay, ay, ay)
Paseo por la calle solo con un frío que ni en el polo
Pensando que vienes a por mí

Y sigues clavaíto
Tan clavaíto que duele (clavaíto)
Tan clavaíto que gusta (clavaíto)
Tan clavaíto que duele (clavaíto)
Estar lejos de ti me asusta

(Clavaíto)
(Cla-clavaíto
(Cla-clavaíto)
(Y sigues clavaíto)
(Cla-clavaíto
(Cla-clavaíto)

Me ve' bien con ella y no es así
Y, aunque no me crea', sigo tras de ti
Y borro el historial cuando te busco
También soy el que te llama en oculto

Que mi sonrisa está ensayada, al igual que mi mirada
Por dentro estoy llorando por ti (ay-ay-ay)
Paseo por la calle sola, mismo perfume amapola
Pensando que vienes a por mí

Y sigue' clavaíta
Tan clavaíta que duele (clavaíto)
Tan clavaíta que gusta (clavaíto)
Tan clavaíta que duele (clavaíto)
Estar lejo' de ti me asusta

Y sigues clavaíto
Tan clavaíto que duele
Tan clavaíto que gusta
Tan clavaíto que duele
Estar lejos de ti me asusta

Y sigue' clavaíta
Tan clavaíta que duele (clavaíto)
Tan clavaíto que gusta (clavaíto)
Tan clavaíta que duele (clavaíto)
Estar lejos de ti me asusta

(Clavaíto)
(Cla-clavaíto
(Cla-clavaíto)
(Y sigues clavaíto)
(Cla-clavaíto
(Cla-clavaíto)

Y sigues clavaíto",Pop,es
"El tonto que me dejaste, pero no estoy triste
Salgo de noche, hasta tarde, y tú solo quieres saber
cómo pude borrarte
Yo sé que me viste el Gucci que me regalaste
Puesto pa' salir con él, eh

Hoy me levanto en la casa de otro, ni sé dónde estoy
Porque anoche, bebé, vi la noche, sabes cómo soy
No es que quiera volver
Porque todo' ya saben que tú, fuiste tú, fuiste

El tonto que me dejaste, pero no estoy triste
Salgo de noche, hasta tarde, y tú solo quieres saber
Có-cómo pude borrarte
Yo sé que me viste el Gucci que me regalaste
Puesto pa' salir con él

Era aquella niña de la escuela
Pero eso le dejó secuela'
Ahora, a cada VIP del party, ella se cuela
Gafas Gucci, vestida de lentejuela
Nos vemo' y nos comemo' sin cautela

Y ahora es una niña mala que anda en busca de calor
Y aunque la dejaste, ese culito no pierde valor

A todos deja en visto
Bebé, lo siento, hace tiempo que no te había visto
No quiero presionar, pero insisto
Que yo me enamoré de tu grito'
De las fotos que subes sin filtro
Y cómo perrea en la disco
Te tapo los ojo' como el Bird Box

Y empiezo a hacerte cosas que a ti nunca te han hecho
Esta noche, vas a tocar el techo
Y dale, ma, vamo' a darle como e'
Y recuerda que ese bobo solo es

El tonto que la dejaste, pero no está triste
Sale de noche, hasta tarde, y tú solo quieres saber
Cómo pudo borrarte
Yo sé que la viste el Gucci que le regalaste
Puesto pa' salir con él, oh, bebé

Para-para-para no pensarte
Cuento botella', no cuento amante'
Bailando reggaetones de ante'
Con todas mis nenas

Sigo en el ring, gané este combate
Dice que no, yo sé que lloraste
Tú, fuiste tú, fuiste

El tonto que me dejaste (fuiste tú, fuiste)
El tonto que la dejaste (vuelve, eh, yeah)
¿Cómo pude borrarte?
Yo sé que me viste el Gucci que me regalaste
Puesto pa' salir con él

El tonto que la dejaste, pero no está triste
Sale de noche, hasta tarde, y tú solo quieres saber
¿Cómo pude borrarte?
Yo sé que me viste el Gucci que me regalaste
Puesto pa' salir con él",Pop,es
"¿Qué pasó entre nosotros dos? No sé
Nadie puede explicar lo que nos une
Se quedó en el coche tu perfume

Pasaba por la playa, como dpope costumbre, al trabajo
Vi un destello que no era una ola, sino una sirena
Me hizo así con las mano' de lejos, creo que pa' que fuera
Y pudiera apreciar su culo lleno de sal y arena

Cuando vi ese culo con arena y sal
Yo ya sabía que me iba a enamorar
De ese culo con arena y sal
Yo ya sabía que me iba a enamorar

Parece modelo de las revista'
Con ella, siempre tengo buenas vista'
Por la noche, volvemo' a la playa nudista
Qué suerte tengo de ser quien te desvista

En la orilla, sube foto' porque sabe que está buena
Los tiene loco' en IG, pero escribe Saiko en la arena

Él te dejó marca en el corazón
Y yo te marco un cora con el bronceador
Una cadena con mi nombre en oro
Pa' que brille hasta cuando no te da el Sol

Bebé, no sé por qué me enamoré
Pero sé que

Cuando vi ese culo con arena y sal
Yo ya sabía que me iba a enamorar
De ese culo con arena y sal
Yo ya sabía que me iba a enamorar

No hay ni que decir qué pasó después de la una
La mami lo sabe bien, pero a mí aún me quedan laguna'
Su mira' parece magia, en verda', que su cuerpo lo hizo la NASA
Da igual lo que haga, porque ella siempre arrasa

Menos mal que te vi en la arena como a un kilómetro de mí
Fuego es lo que me haces sentir
Tírame un DM pa' volve' a repetir

Menos mal que te vi en la arena como a un kilómetro de mí
Fuego es lo que me haces sentir
Tírame un DM pa' volve' a repetir

Cuando vi ese culo con arena y sal
Yo ya sabía que me iba a enamorar
De ese culo con arena y sal
Yo ya sabía que me iba a enamorar

Cuando vi ese culo
Cu-culo, culo, cu-culo
Culo, cu-culo, culo, culo, culo

De ese culo con arena y sal
Yo ya sabía que me iba a enamorar",Pop,es
"Yah (mmm)
Bad Gyal
Mmm (yeah, yeah)
Ah

La cadena le brilló en lo oscuro
Huele a Baccarat, fumándose un puro
Tiene cara que en la cama te da duro
Yo sé, papi, que tú eres muy chulo

Cómo me mira, el deseo se le ve
Él me pasa lo que fuma, lo caté
Yo me puse el short, las Jordan en los pie'
Pa' moverlo como es

Chulo
Tiene cara que en la cama te da duro (duro, duro, se te ve)
Yo sé, papi, que tú ere' muy chulo
Duro
Tiene cara que en la cama te da duro
Chulo (chulo, chulo, se aloca, rompe, ah)
La cadena le brilló en lo oscuro

Está laquia'o, perfuma'o, arrebata'o
Dice que quiere tenerme a su lao'
Y yo con gana' de verlo vaciao'
Pa' dejarlo asfixiao' y decirle chao, chao

Un chulo como tú, así es como me gusta
Una mala como yo, eso es lo que tú busca'
Te pongo rápido y me da mala conducta
Tu actitud de delincuente que me pone puta

Tiene el piquete caro que a mí me da nota
Cuando me ve bailando lejo', se sofoca (ah, por el culo)
Me está pidiendo que se la ponga en la boca
Te embarro la cara de leche, papi, yo soy loca (mío, mío, mío)

Te brilla la cadena y a mí me brillan los grillz
Ya me di cuenta que tú estás puesto pa' mí
Me lleva pa' lo oscuro, qué lo que me va decir (ah, mmm, ah, dile, Toki)
Que me quiere hacer venir (duro)

La cadena le brilló en lo oscuro
Huele a Baccarat, fumándose un puro
Tiene cara que en la cama te da duro
Yo sé, papi, que tú eres muy chulo

Cómo me mira, el deseo se le ve
Él me pasa lo que fuma, lo caté (qué rico)
Yo me puse el short, las Jordan en los pie'
Pa' moverlo como es

Chulo (chulo)
Cara buena y en la cama doy duro (duro, duro, bien duro)
Mami, si tú quieres me dices chulo
Duro (me dices chulo, chulo)
Cara buena y en la cama doy duro (duro, ay, duro)
Si me dejas, rapidito te enchulo

Chulo, duro, pégame ese culo (echa pa'tras)
Ay, Dios mío, mami, yo te juro
Que si te pillo yo te llevo a lo oscuro (tiki tiki)
Sexo crudo pásame del puro

Y dale, pégate, muévete, ma', ¿tú no querías fuete?
Pégame ese culo que tú no tienes grillete
Dale hasta abajo, si te cae', yo te subo
Perdóname, Dios, si un pecado se comete

Chiquitita con nalgas grandota'
Se ve fina, pero se le nota
Que lo que bebe es whisky a la roca
La nena chinga, pero no se enamora

Mmm, mm-mm-mmm, la nota del blunt le subió
Mmm, mm-mm-mmm, me pone cachonda, me pone mal

Chulo (chulo, es muy chulo)
Tiene cara que en la cama te da duro (bien duro, duro)
Yo sé, papi, que tú ere' muy chulo
Duro
Tiene cara que en la cama te da duro
Chulo (chulo, se aloca)
La cadena le brilló en lo oscuro

Mm
Ey, it's baby Miko
Tokischa, Tokischa
Bad Gyal, Toki, Toki, yeah, yeah (Bad Gyal; Bad Gyal)
Bad Gyal, Gyal

Con la Toki, la Young Miko y la Bad Gyal, Gyal
Con la Toki, la Young Miko y la Bad Gyal, Gyal
Otra vez
Con la Toki, la Young Miko y la Bad Gyal, Gyal, Gyal
Con la Toki, la Young Miko y la Bad Gyal, Gyal",Pop,es
"Sábado noche 1980
Tengo bebida fría en la nevera
Luces neón por toda la escalera
Toque de glitter, chupito de absenta

Y me pongo pibón
Por si esta noche pasa algo entre tú y yo
Gotas de dolce pa' que huela mejor
Y se va calentando el ambiente
Yo te busco entre toda esta gente
Dime, dime, dime dónde estás

Tu boquita de fresa, mi mojito de menta
Las cosas bonitas, al final se encuentran
Dos trocitos de fruta, si quieren se disfrutan
Te invito a mi fiesta en mi casa a la una

Noche ochentera, toda la noche entera
Hay una cola que tela, pero, ven con quien quieras
Noche ochentera, toda la noche entera
Cógeme la cadera, que bailamos la lenta tú y yo
La noche entera, era, ¡eh!

Como una noche ochentera, era, ¡eh!
La, la, la noche entera, era, ¡eh!
Como una noche ochentera, era, ¡eh!

Lo haremos como en Las Vegas
Lo que pase aquí, aquí se queda
La policía en la puerta
Pero nadie nos va a frenar, no
Díselo, que esta fiesta no acabó

Dame dos, bien de ron
Y salimos al balcón a gritar
Que la vida es pa' disfrutar
Que nos sobran ganas de amar
La vecina empieza a picar
Que quiere subirse a bailar

¡Sube, sube, sube!
Que quiere subirse a bailar
¡Sube, Mari, sube!
¡Y súbete hielos, Mari!

Noche ochentera, toda la noche entera
Hay una cola que tela, pero, ven con quien quieras
Noche ochentera, toda la noche entera
Cógeme la cadera, que bailamos la lenta tú y yo
La noche entera, era, ¡eh!

Como una noche ochentera, era, ¡eh!
La, la, la noche entera, era, ¡eh!
Como una noche ochentera, era, ¡eh!

Tu boquita de fresa, mi mojito de menta
Las cosas bonitas, al final se encuentran

Noche ochentera, toda la noche entera
Hay una cola que tela, pero, ven con quien quieras
Nochentera, toda la noche entera
Cógeme la cadera, que bailamos la lenta tú y yo
La noche entera, era, ¡eh!

Como una noche ochentera, era, ¡eh!
La, la, la noche entera, era, ¡eh!
Como una noche ochentera, era, ¡eh!
La noche entera, era, ¡eh!

Como una noche ochentera, era, ¡eh!
La, la, la noche entera, era, ¡eh!
Como una noche ochentera, era, ¡eh!",Pop,es
"(Oh-oh-oh)
(No-oh-oh, no)
Ey-yeah (oh)

Simplemente otro día más planeando recuperarte
La casa es como un infierno
Queman los recuerdos
Y yo, en plan masoquista, dejé todo tal cual

Pero ahora que no estás aquí
Que me di cuenta de lo que perdí
Puede que no sea tan tarde pa' verte y decirte
Que sigo toda loca por tu amor

Quiero decirte que lo siento, que te echo de menos
Que de to' lo que ha pasa'o, nena, yo me arrepiento
Te quiero todavía
No pienses que ya te di por perdí'a

Quiero decirte que lo siento, que te echo de menos
Que de to' lo que ha pasa'o, nene, yo me arrepiento
Te quiero todavía
No pienses que ya te di por perdí'o (perdí'a)

O-o-ojalá poder resetear mi mente y que no le dé por ti
Pero ¿qué quieres que le haga, baby? No te voy a mentir
Es que me inundo cada segundo
Y llego a tal punto de no poder respirar
Cuando empiezo a recordar

Aquel instante de humedá-á-á'
Na' como lo que tú me da-a-a'
Pa' delante no puedo tira-a-a'
Venga, porfa, dame otra oportunida'

Quiero decirte que lo siento, que te echo de menos
Que de to' lo que ha pasa'o, nena, yo me arrepiento
Te quiero todavía
No pienses que ya te di por perdí'a

Quiero decirte que lo siento, que te echo de menos
Que de to' lo que ha pasa'o, nene, yo me arrepiento
Te quiero todavía
No pienses que ya te di por perdí'o (perdí'a)

Aquel instante de humedá-á-á'
Na' como lo que tú me da-a-a'
Pa' delante no puedo tira-a-a'
(Sé que lo hice mal, no te valoré)

Pero ahora que no estás aquí
Que me di cuenta de lo que perdí
Puede que no sea tan tarde pa' verte y decirte
Que aún sigo todo loco por tu amor

Quiero decirte que lo siento, que te echo de menos
Que de to' lo que ha pasa'o, nene, yo me arrepiento
Te quiero todavía
No pienses que ya te di por perdí'o (perdí'a)

Quiero decirte que lo siento, que te echo de menos
Que de to' lo que ha pasa'o, nena, yo me arrepiento
Te quiero todavía
No pienses que ya te di por perdí'a",Pop,es
"Fue una casualidad
Cuando te conocí
Como es que olvidé lo que era sentir
Nervio y frenesí por primera vez

De las mil y una dudas
Ya no queda ninguna
Y aunque perdí la fe, la recuperé
Pero esta vez

Tú me has devuelto las ganas
Yo quiero todo contigo
Perdidos en una playa
Hasta que el Sol se vaya
Y la Luna sea testigo

Tú me has devuelto las ganas
Ya no me siento perdido
Saltemos por la ventana
Lo que pase mañana
Yo se lo dejo al destino

Te lo repito que yo quiero todo con

Contarte
Darte mil besos y enamorarte
Verte
Tenerte de miércoles a martes, tanto
Te juro que no aguanto
Dime si tú quieres saber dónde, cómo y cuánto

Toda la vida entera
Como no hizo cualquiera
Yo quiero darte mi amor
Toda la vida, toda la vida

Tú me has devuelto las ganas
Yo quiero todo contigo
Perdidos en una playa
Hasta que el Sol se vaya
Y la Luna sea testigo

Tú me has devuelto las ganas
Ya no me siento perdido
Saltemos por la ventana
Que lo de mañana
Yo se lo dejo al destino

Te lo repito que yo quiero todo contigo

Yo quiero todo contigo
Perdidos en una playa
Hasta que el Sol se vaya
Y la Luna sea testigo

Te lo repito que yo quiero todo con
Todo contigo
Todo contigo
Y la Luna sea testigo

Te lo repito que yo quiero todo contigo",Pop,es
"Mami, yo no sé qué me pasa
Si desde que te fuiste está muy fría la casa
Antes de que te fueras ya bebía to' el día
Y ahora que tú te has ido, bebo más todavía

Un mensaje sin respuesta, dos maletas en la puerta
Y tú en tres meses, ya ni te acuerdas de los planes que nos prometimos
No me sirvieron pa' olvidarte los tragos
Y aunque voy ciego, yo te veo en todos lados
Más de una amiga en los sitios que tocamos
Y en el hotel yo te imagino a mi lado

Mami, yo no sé qué me pasa
Si desde que te fuiste está muy fría la casa
Antes de que te fueras ya bebía to' el día
Y ahora que tú te has ido, bebo más todavía
En to' los sitios siento que sobro
Y ahora yo solo soy feliz cada vez que cobro
No sé qué es el amor, si no es eso que tenía
Voy a adoptar un perro pa' hacerme compañía

No sé qué pasa, todo me sale mal
Ser yo me cansa, mami, tú estás igual
Y aunque dijimos que no hay vuelta atrás
Hoy necesito verte, pero
Creo que estoy aburrido y es solo un calentón
Yo siempre te echo de menos cuando me entra el bajón
Si no te hubieras ido, no sería quien soy
Pero es que al estar contigo, me sentía el mejor, yeah

Mami, yo no sé qué me pasa
Si desde que te fuiste está muy fría la casa
Antes de que te fueras ya bebía to' el día
Y ahora que tú te has ido, bebo más todavía
En to' los sitios siento que sobro
Y ahora yo solo soy feliz cada vez que cobro
No sé qué es el amor, si no es eso que tenía
Voy a adoptar un perro pa' hacerme compañía

Mami, yo no sé qué me pasa
Si desde que te fuiste está muy fría la casa
Antes de que te fueras ya bebía to' el día
Y ahora que tú te has ido, bebo más todavía

Mami, yo no sé qué me pasa
Si desde que te fuiste está muy fría la casa
Antes de que te fueras ya bebía to' el día
Y ahora que tú te has ido, bebo más todavía
En to' los sitios siento que sobro
Y ahora yo solo soy feliz cada vez que cobro
No sé qué es el amor, si no es eso que tenía
Voy a adoptar un perro pa' hacerme compañía",Pop,es
"En los cuentos siempre hay un final feliz
Pero luego en la vida real, hay un matiz
Se juntan nudos y desenlaces
Hay gente con quien no haces las paces
No siempre tienes lo que mereces
Se supone que así creces

Y ahora no me siento personaje principal
Quiero ser antagonista
Voy hacerle caso a mi instinto animal
Joder al protagonista
Ahora me apеtece hacerlo todo mal

No quiеro pararme a preguntarme nada
Estímulos externos son los que me dan
El placer de amarme, sentirme deseada
Voy a usar mi cuerpo hasta que sane mi mente
Voy a sucumbir, no siempre puedo ser fuerte

Voy a hacerlo todo mal, todo mal, todo mal, todo mal
Ser la antagonista
Voy a hacerlo todo mal, todo mal, todo mal, todo mal
Ser la antagonista

Joder al protagonista
En pelis de acción especialista
Voy a ser portada de revista
Para que no te olvides que mi cara exista
Antes era buena, ahora soy lista
Y.... Ser lista nunca ha sido sinónimo de buena
Ya he dejado de llorar, se ha acabado la pena
Ahora viene la fase de rabia
Mala combinación con ser sabía, porque

Y ahora no me siento personaje principal
Quiero ser antagonista
Voy hacerle caso a mi instinto animal
Joder al protagonista
Ahora me apetece hacerlo todo mal

No quiero pararme a preguntarme nada
Estímulos externos son los que me dan
El placer de amarme, sentirme deseada
Voy a usar mi cuerpo hasta que sangre mi mente
Voy a sucumbir, no siempre puedo ser fuerte

Voy a hacerlo todo mal, todo mal, todo mal, todo mal
Ser la antagonista
Voy a hacerlo todo mal, todo mal, todo mal, todo mal
Voy a hacerlo todo mal, todo mal, todo mal, todo mal
Ser la antagonista
Voy a hacerlo todo mal, todo mal, todo mal, todo mal
Ser la antagonista",Pop,es
"Yeah-uh, yeah -uh
Hmm-hmm
Ya le encontré una explicación a porque no me encuentro bien
Es porque ya paso un montón desde que no te he visto

Y no poderte ver (malo para la salud)
Te quiero tener, pegadita como un tatto

Así es como quiero tener
Eres el más caro menú
Sabe a cinco estrellas comerte
Solo tú y yo, yo y tú (uh-uh, uh-uh, uh-uh-uh)
Solo tú y yo, yo y tú
Sabe a cinco estrellas comerte

Pegadito como Super Glue
O como un chicle abajo de la mesa
Eres un temazo, qué ni con champú (ni con champú)
Me lo puede sacar de la cabeza (no me sale, no puedo)
Me dejas embobado sin que ni digas ni mu
Yo soy feliz, solo siéndolo tú
Soy una nube y tú el cielo azul
